,Concept_ID,xal,la
769,was::FPRN,юн,quid
770,wer::FPRN,кен,quis
771,wo::FADV,хама,ubi
772,wohin::FADV,хамаран,quo
773,wie::FADV,яһҗ,quomodo
774,wie::FADV,яһад,quomodo
775,warum::FADV,юңгад,cur
776,wieviel::FNUM,кедү,quantum
777,eins::NUM,негн,unus
778,zwei::NUM,хойр,duo
779,drei::NUM,һурвн,tres
780,vier::NUM,дөрвн,quattuor
781,fünf::NUM,тавн,quinque
782,sechs::NUM,зурһан,sex
783,sieben::NUM,долан,septem
784,acht::NUM,нәәмн,octo
785,neun::NUM,йисн,novem
786,zehn::NUM,арвн,decem
787,elf::NUM,арвн негн,undecim
788,zwölf::NUM,арвн хойр,duodecim
789,zwanzig::NUM,хөрн,viginti
790,dreißig::NUM,һучн,triginta
791,vierzig::NUM,дөчн,quadraginta
792,fünfzig::NUM,тәвн,quinquaginta
793,sechzig::NUM,җирн,sexaginta
794,siebzig::NUM,далн,septuaginta
795,achtzig::NUM,найн,octoginta
796,neunzig::NUM,йирн,nonaginta
797,hundert::NUM,зун,centum
798,tausend::NUM,миңһн,mille
799,und::CNJ,болн,et
