,Concept_ID,ps,et
712,fleißig::A,زحمت کښ,virk
713,fleißig::A,زحمت کښ,hoolas
714,geizig::A,بخیل,ihne
715,klug::A,عاقل,tark
716,klug::A,عاقل,arukas
717,klug::A,عاقل,mõistlik
718,klug::A,هوښیار,tark
719,klug::A,هوښیار,arukas
720,klug::A,هوښیار,mõistlik
721,geschickt::A,ماهر,osav
722,lieb::A,عزیز,armas
723,lieb::A,محبوب,armas
724,lustig::A,خوشحال,lõbus
725,sanft::A,پوست,õrn
726,sanft::A,ملایم,õrn
727,hungrig::A,وږی,näljane
728,krank::A,مريض,haige
729,krank::A,ناروغ,haige
730,nackt::A,لوڅ,alasti
731,traurig::A,غمجن,kurb
732,lebendig::A,ژوندی,elus
733,gut::A,ښه,hea
734,schlecht::A,بد,halb
735,schlecht::A,خراب,halb
736,richtig::A,سم,õige
737,richtig::A,صحیح,õige
738,schlimm::A,بد,paha
739,schlimm::A,مخوف,paha
740,wahr::A,واقعي,tõene
741,alt::A,زوړ,vana
742,neu::A,نوی,uus
743,ehemalig::A,پخوانی,endine
744,alt[Lebewesen]::A,زوړ,vana
745,jung::A,ځوان,noor
746,arm::A,غریب,vaene
747,arm::A,بې وزله,vaene
748,reich::A,شتمن,rikas
749,reich::A,دولتمند,rikas
750,bekannt::A,اشنا,teada
751,bekannt::A,اشنا,tuttav
752,berühmt::A,مشهور,tuntud
753,fremd::A,پردی,võõras
754,fremd::A,بېګانه,võõras
755,verschieden::A,مختلف,erinev
756,nah::A,نژدې,lähedane
757,fern::A,لیری,kauge
758,linker::A,چپ,vasak
759,linker::A,کیڼ,vasak
760,rechter::A,ښی,parem
761,anderer::A,بل,muu
762,anderer::A,بل,teine
763,erster::A,لومړی,esimene
764,zweiter::A,دوهم,teine
765,dritter::A,درېم,kolmas
766,letzter::A,آخرنی,viimane
767,letzter::A,وروستی,viimane
768,allein::ADV,یوازې,üksi
769,auf einmal::ADV,په یوه وخت کی,korraga
770,auf einmal::ADV,په یوه وخت کی,ühekorraga
771,zusammen::ADV,یو ځای,koos
772,zusammen::ADV,یو ځای,üheskoos
773,lange::ADV,ډېر وخت,kaua
774,lange::ADV,ډېره موده,kaua
775,plötzlich::ADV,ناببره,äkki
776,plötzlich::ADV,ناببره,järsku
777,plötzlich::ADV,یوناڅاپه,äkki
778,plötzlich::ADV,یوناڅاپه,järsku
779,sofort::ADV,فوراً,kohe
780,sofort::ADV,سمدلاسه,kohe
781,später::ADV,وروسته,hiljem
782,jetzt::ADV,اوس,nüüd
783,heute::ADV,نن,täna
784,morgen::ADV,سبا,homme
785,bald::ADV,ژر,pea
786,bald::ADV,ژر,varsti
787,dann::ADV,پس,siis
788,dann::ADV,وروسته,siis
789,gestern::ADV,پرون,eile
790,einst::ADV,پخوا,vanasti
