,Concept_ID,eu,cs
742,grau::A,urdinabar,šedivý
743,bunt::A,koloretsu,pestrý
744,billig::A,merke,levný
745,billig::A,merke,laciný
746,teuer::A,garesti,drahý
747,wertvoll::A,baliotsu,cenný
748,blind::A,itsu,slepý
749,taub::A,gor,hluchý
750,kräftig::A,kementsu,silný
751,stark::A,bizkor,silný
752,stark::A,indartsu,silný
753,schwach::A,ahul,slabý
754,schwach::A,indargabe,slabý
755,fett::A,gizen,tučný
756,fett::A,gizen,tlustý
757,schlank::A,lerden,štíhlý
758,hübsch::A,polit,hezký
759,böse::A,tzar,zlý
760,böse::A,gaizto,zlý
761,dumm::A,lelo,hloupý
762,dumm::A,pello,hloupý
763,faul::A,nagi,líný
764,faul::A,alfer,líný
765,fleißig::A,maratz,pilný
766,fleißig::A,lanzale,pilný
767,geizig::A,zeken,lakomý
768,geizig::A,zikoitz,lakomý
769,klug::A,zuhur,chytrý
770,geschickt::A,trebe,šikovný
771,geschickt::A,antzetsu,šikovný
772,lieb::A,maite,milý
773,lieb::A,laztan,milý
774,lustig::A,alaitsu,veselý
775,sanft::A,eme,mírný
776,sanft::A,ezti,mírný
777,hungrig::A,gose,hladový
778,krank::A,eri,nemocný
779,krank::A,gaixo,nemocný
780,nackt::A,biluzi,nahý
781,traurig::A,itun,smutný
782,traurig::A,itun,truchlivý
783,traurig::A,betilun,smutný
784,traurig::A,betilun,truchlivý
785,lebendig::A,bizirik,živý
786,gut::A,on,dobrý
787,schlecht::A,txar,špatný
788,richtig::A,zuzen,pravý
789,richtig::A,zuzen,správný
790,schlimm::A,larri,zlý
791,wahr::A,egiazko,pravdivý
792,alt::A,zahar,starý
793,neu::A,berri,nový
794,ehemalig::A,lehengo,bývalý
795,alt[Lebewesen]::A,adindun,starý
796,jung::A,gazte,mladý
797,arm::A,txiro,chudý
798,arm::A,behartsu,chudý
799,reich::A,dirudun,bohatý
800,bekannt::A,ezagun,známý
801,berühmt::A,entzun,slavný
802,berühmt::A,ospetsu,slavný
803,fremd::A,arrotz,cizí
804,verschieden::A,ezberdin,různý
805,verschieden::A,ezberdin,rozličný
806,verschieden::A,desberdin,různý
807,verschieden::A,desberdin,rozličný
808,nah::A,hurre,blízký
809,nah::A,hurbil,blízký
810,fern::A,urrun,daleký
811,linker::A,ezker,levý
812,rechter::A,eskuin,pravý
813,anderer::A,beste,jiný
814,erster::A,lehen,první
815,erster::A,aurren,první
816,zweiter::A,bigarren,druhý
