,Concept_ID,ar,kl
686,heiß::A,ساخن,kiappoq
687,warm::A,دافئ,oqorpoq
688,kalt::A,بارد,issippoq
689,kühl::A,قر,pueqqortippoq
690,frisch::A,طازج,
691,feucht::A,رطب,isugutavoq
692,feucht::A,رطب,qaasernarpoq
693,nass::A,مبلول,imerorpoq
694,trocken::A,جاف,panerpoq
695,voll::A,ملء,ulikkaarpoq
696,leer::A,خال,imaattuarpoq
697,leer::A,فارغ,imaattuarpoq
698,offen::A,مفتوح,ammavoq
699,geschlossen::A,مغلق,matuvoq
700,sauber::A,نظيف,eqqippoq
701,sauber::A,نظيف,sukuluippoq
702,sauber::A,نظيف,ipeqanngilaq
703,schmutzig::A,قذر,tapappoq
704,schmutzig::A,قذر,minguppoq
705,roh::A,نيء,aapavoq
706,reif::A,ناضج,qaarulerpoq
707,lecker::A,لذيذ,
708,süß::A,حلو,tungusunnippoq
709,bitter::A,مر,qasilippoq
710,sauer::A,حامض,
711,hell::A,نير,qaamavoq
712,dunkel::A,مظلم,qernerpoq
713,schwarz::A,أسود,qernerpoq
714,weiß::A,أبيض,qaqorpoq
715,rot::A,أحمر,aappaluppoq
716,gelb::A,أصفر,sungaarpoq
717,blau::A,أزرق,tungujorpoq
718,grün::A,أخضر,qorsooqqippoq
719,grau::A,رمادي,qaserpoq
720,bunt::A,ملوب,
721,billig::A,رخيص,akikippoq
722,teuer::A,غال,
723,wertvoll::A,ثمين,erlinnarpoq
724,blind::A,أعمى,tappiippoq
725,blind::A,أعمى,isigisaqanngilaq
726,taub::A,أصم,tusilarpoq
727,taub::A,أطرش,tusilarpoq
728,kräftig::A,قوي,pissaq
729,kräftig::A,قوي,pissarsuaq
730,stark::A,قوي,sanngivoq
731,schwach::A,ضعيف,nakuippoq
732,fett::A,سمين,pualavoq
733,schlank::A,أهيف,tuappoq
734,hübsch::A,جميل,aatsialaq
735,böse::A,رديء,ajorpoq
