,Concept_ID,hu,sv
424,Schaufel::N,lapát,skovel
425,Schaufel::N,lapát,skyffel
426,Gabel::N,villa,gaffel
427,Löffel::N,kanál,sked
428,Messer::N,kés,kniv
429,Nagel::N,szeg,spik
430,Netz::N,háló,nät
431,Haken::N,kampó,krok
432,Griff::N,nyél,tag
433,Griff::N,nyél,handtag
434,Griff::N,fogantyú,tag
435,Griff::N,fogantyú,handtag
436,Schloss::N,zár,las
437,Bild::N,kép,bild
438,Figur::N,alak,figur
439,Puppe::N,bábu,docka
440,Beutel::N,zacskó,påse
441,Bündel::N,köteg,bunt
442,Bündel::N,köteg,knippa
443,Tasche::N,táska,väska
444,Eimer::N,vödör,hink
445,Eimer::N,vödör,ämbar
446,Deckel::N,fedő,lock
447,Deckel::N,fedél,lock
448,Geschirr::N,edény,servis
449,Geschirr::N,edény,porslin
450,Sack::N,zsák,säck
451,Tasse::N,csésze,kopp
452,Topf::N,fazék,gryta
453,Topf::N,fazék,kastrull
454,Kessel::N,üst,kittel
455,Kessel::N,bogrács,kittel
456,Essen::N,evés,mål
457,Essen::N,étkezés,mål
458,Nahrung::N,ennivaló,näring
459,Speise::N,étel,maträtt
460,Fleisch::N,hús,kött
461,Getreide::N,gabona,säd
462,Getreide::N,gabona,spannmål
463,Brei::N,pép,gröt
464,Brei::N,kása,gröt
465,Brot::N,kenyér,bröd
466,Scheibe::N,szelet,skiva
467,Fett::N,háj,fett
468,Fett::N,zsír,fett
469,Butter::N,vaj,smör
470,Öl::N,olaj,olja
471,Salz::N,só,salt
472,Suppe::N,leves,soppa
473,Honig::N,méz,honung
474,Milch::N,tej,mjölk
475,Tee::N,tea,te
476,Leder::N,bőr,läder
477,Wolle::N,gyapjú,ull
478,Wolle::N,gyapjú,ylle
479,Stoff::N,szövet,tyg
480,Stoff::N,szövet,stoff
481,Nadel::N,tű,nål
482,Faden::N,fonál,tråd
483,Knopf::N,gomb,knapp
