,Concept_ID,mn,av
409,Osten::N,зүүн,машрикъ
410,Osten::N,дорно,шаркъ
411,Osten::N,дорно,машрикъ
412,Holz::N,мод,цӏул
413,Brett::N,банз,хъарщи
414,Platte::N,хавтан,къоно
415,Stütze::N,тулгуур,
416,Stütze::N,тулга,
417,Stange::N,сургааг,гӏер
418,Stock::N,саваа,тӏил
419,Stab::N,таяг,гӏер
420,Rohr::N,хоолой,турба
421,Haus::N,гэр,ригь
422,Haus::N,гэр,рукъзал
423,Haus::N,байшин,ригь
424,Haus::N,байшин,рукъзал
425,Heim::N,гэр,рукъ
426,Ofen::N,зуух,печь
427,Ofen::N,пийшин,печь
428,Fußboden::N,шал,чӏабар
429,Tisch::N,ширээ,стол
