,Concept_ID,vep,es
713,nackt::A,alastoi,desnudo
714,traurig::A,opalahine,triste
715,lebendig::A,eläb,vivo
716,lebendig::A,eläb,viviente
717,gut::A,hüvä,bueno
718,schlecht::A,huba,malo
719,richtig::A,oiged,justo
720,richtig::A,oiged,correcto
721,schlimm::A,paha,malo
722,schlimm::A,paha,grave
723,wahr::A,todesine,verídico
724,wahr::A,todesine,verdadero
725,alt::A,vanh,viejo
726,neu::A,uz',nuevo
727,ehemalig::A,edeline,antiguo
728,alt[Lebewesen]::A,ravaz,viejo
729,jung::A,nor',joven
730,arm::A,gol'l',pobre
731,reich::A,elokaz,rico
732,bekannt::A,tutab,conocido
733,berühmt::A,tetab,famoso
734,berühmt::A,tetab,célebre
735,fremd::A,veraz,extraño
736,verschieden::A,erazvuitte,diverso
737,verschieden::A,erazvuitte,distinto
738,verschieden::A,erazvuitte,diferente
739,nah::A,läheline,cercano
740,fern::A,edahaine,lejano
741,linker::A,hura,izquierdo
742,rechter::A,oiged,derecho
743,anderer::A,toine,otro
744,erster::A,ezmäine,primero
745,zweiter::A,toine,segundo
746,dritter::A,koumanz',tercero
747,letzter::A,jäl'gmäine,último
748,allein::ADV,üksnäze,a solo
749,auf einmal::ADV,ühten aigan,de una vez
750,zusammen::ADV,ühtes,juntos
751,lange::ADV,hätken,mucho tiempo
752,plötzlich::ADV,äkkid,de repente
753,sofort::ADV,kerdalaz,en seguida
754,später::ADV,möhemba,más tarde
755,jetzt::ADV,nügüd',ahora
756,heute::ADV,tämbei,hoy
757,morgen::ADV,homen,mañana
758,bald::ADV,pigai,pronto
759,bald::ADV,pigai,en breve
760,dann::ADV,sid',luego
761,dann::ADV,sid',entonces
762,gestern::ADV,eglai,ayer
763,einst::ADV,ende,antaño
764,einst::ADV,kerdan,antaño
765,damals::ADV,siloi,entonces
766,danach::ADV,sid',después
767,vorher::ADV,ende,antes
768,zuerst::ADV,ezmäi,primero
769,einmal::ADV,kerdan,una vez
770,manchmal::ADV,erašti,a veces
771,oft::ADV,paksus,a menudo
772,oft::ADV,paksus,con frecuencia
773,immer::ADV,kaiken,siempre
774,niemals::ADV,ei nikonz,jamás
775,hier::ADV,täs,aquí
776,hier::ADV,tägä,aquí
777,hierhin::ADV,tänna,acá
778,von hier::ADV,täspäi,desde aquí
779,von hier::ADV,sid'päi,desde aquí
780,dort::ADV,sigä,ahí
781,dort::ADV,sigä,allí
782,dorthin::ADV,sinna,allí
783,dorthin::ADV,sinna,hacia allí
784,dorthin::ADV,nakkale,allí
785,dorthin::ADV,nakkale,hacia allí
786,geradeaus::ADV,kohtha,todo derecho
787,vorwärts::ADV,edehe,adelante
788,rückwärts::ADV,sel'gin,hacia atrás
789,zurück::ADV,tagaze,atrás
790,unten::ADV,alahan,abajo
791,hinab::ADV,alaz,hacia abajo
792,hinab::ADV,alahaks,hacia abajo
793,oben::ADV,ülähän,arriba
794,hinauf::ADV,ülez,hacia arriba
795,hinauf::ADV,ülähäks,hacia arriba
796,überall::ADV,kaikjal,por todas partes
797,nicht::ADV,ei,no
798,ein wenig::ADV,vähän,un poco
799,kaum::ADV,habi,apenas
800,sehr::ADV,lujas,muy
801,sehr::ADV,lujas,mucho
802,so::ADV,muga,tan
803,so::ADV,ninga,tan
804,noch::ADV,völ,aún
805,noch::ADV,völ,todavía
806,nur::ADV,järg,solamente
807,nur::ADV,vaiše,solamente
808,schon::ADV,jo,ya
809,wieder::ADV,möst,de nuevo
810,vergebens::ADV,uhtei,en vano
811,vor::PRP,edes,antes de
812,vor::PRP,edes,delante de
813,hinter::PRP,taga,tras
814,hinter::PRP,taga,detrás de
815,unter::PRP,al,bajo
816,unter::PRP,al,debajo de
817,durch::PRP,läbi,por
818,durch::PRP,läbi,a través de
819,durch::PRP,kal't,por
820,durch::PRP,kal't,a través de
821,neben::PRP,rindal,al lado de
822,zwischen::PRP,keskes,entre
823,wegen::PRP,tagut,por
824,wegen::PRP,tagut,a causa de
825,dies::PRN,nece,esto
826,das::PRN,se,eso
827,das::PRN,se,esto
828,alles::PRN,kaik,todo
829,ich::PRN,minä,yo
830,du::PRN,sinä,tú
831,er::PRN,hän,él
832,wir::PRN,mö,nosotros
