,Concept_ID,be,ca
726,immer::ADV,заўсёды,sempre
727,niemals::ADV,ніколі,no ... mai
728,hier::ADV,тут,aquí
729,hierhin::ADV,сюды,per aquí
730,von hier::ADV,адсюль,des d'aquí
731,von hier::ADV,адгэтуль,des d'aquí
732,dort::ADV,там,allí
733,dorthin::ADV,туды,hi
734,geradeaus::ADV,прама,tot dret
735,vorwärts::ADV,наперад,endavānt
736,rückwärts::ADV,назад,endarrera
737,zurück::ADV,назад,darrere
738,unten::ADV,унізе,a baix
739,hinab::ADV,уніз,cap avall
740,oben::ADV,угары,dalt
741,oben::ADV,наверсе,dalt
742,hinauf::ADV,угару,cap amunt
743,überall::ADV,усюды,pertot
744,überall::ADV,усюды,per tot arreu
745,nicht::ADV,не,no
746,ein wenig::ADV,трошкі,una mica
747,kaum::ADV,ледзьве,a penes
748,sehr::ADV,вельмі,molt
749,so::ADV,так,així
750,noch::ADV,яшчэ,encara
751,nur::ADV,толькі,només
752,schon::ADV,ужо,ja
753,wieder::ADV,зноў,de nou
754,vergebens::ADV,дарма,en va
755,vergebens::ADV,дарэмна,en va
756,vor::PRP,перад,davānt
757,vor::PRP,перад,enfront de
758,hinter::PRP,за,darrera
759,hinter::PRP,ззаду,darrera
760,unter::PRP,пад,sota
761,durch::PRP,праз,per
762,neben::PRP,каля,al costāt de
763,zwischen::PRP,між,entre
764,zwischen::PRP,паміж,entre
765,wegen::PRP,з-за,a causa de
766,dies::PRN,гэта,aquest
767,das::PRN,тое,això
768,alles::PRN,усё,tot
769,ich::PRN,я,jo
770,du::PRN,ты,tu
771,er::PRN,ён,ell
772,wir::PRN,мы,nosaltres
773,ihr::PRN,вы,vosaltres
774,sie::PRN,яны,ells
775,sie::PRN,яны,elles
776,was::FPRN,што,què
777,wer::FPRN,хто,qui
778,wo::FADV,дзе,on
779,wohin::FADV,куды,cap a on
780,wie::FADV,як,com
781,warum::FADV,чаму,per què
782,wieviel::FNUM,колькі,quant
783,eins::NUM,адзін,u
784,zwei::NUM,два,dos
785,drei::NUM,тры,tres
786,vier::NUM,чатыры,quatre
787,fünf::NUM,пяць,cinc
788,sechs::NUM,шесць,sis
789,sieben::NUM,сем,set
790,acht::NUM,восем,vuit
791,neun::NUM,дзевяць,nou
792,zehn::NUM,дзесяць,deu
793,elf::NUM,адзінаццаць,onze
794,zwölf::NUM,дванаццаць,dotze
795,zwanzig::NUM,дваццаць,vint
796,dreißig::NUM,трыццаць,trenta
797,vierzig::NUM,сорак,quaranta
798,fünfzig::NUM,пядзесят,cinquanta
799,sechzig::NUM,шесдзесят,seixanta
800,siebzig::NUM,семдзесят,setanta
801,achtzig::NUM,восемдзесят,vuitanta
802,neunzig::NUM,дзевяноста,noranta
803,hundert::NUM,сто,cent
804,tausend::NUM,тысяча,mil
805,und::CNJ,і,i
806,und::CNJ,ды,i
807,oder::CNJ,або,o
808,stehen::V,стаяць,estar de peu
809,sitzen::V,сядзець,seure
810,liegen::V,ляжаць,jeure
811,hängen::V,вісець,penjar
812,werden::V,стаць,fer-se
813,werden::V,стаць,posar-se
814,werden::V,зрабіцца,fer-se
815,werden::V,зрабіцца,posar-se
816,passieren::V,трапіцца,succeir
817,beginnen::V,пачацца,iniciar-se
818,enden::V,кончыцца,acabar-se
819,enden::V,кончыцца,terminar-se
820,wechseln::V,мяняцца,canviar
821,aufgehen[Sonne]::V,узысці,sortir
822,untergehen[Sonne]::V,зайсці,posar-se
823,scheinen[Sonne]::V,свяціць,brillar
824,donnern::V,грымець,tronar
825,wehen::V,дзьмуць,bufar
826,strömen::V,ліцца,afluir
827,fließen::V,цячы,fluir
828,sich drehen::V,круціцца,girar
829,sich drehen::V,варочацца,girar
830,schwanken::V,хістацца,vacil·lar
831,schwingen::V,гайдацца,oscil·lar
832,schwingen::V,калыхацца,oscil·lar
833,fallen::V,падаць,caure
834,fallen::V,падаць,tombar
