,Concept_ID,ml,kn
395,Leine::N,കെട്ടാനുള്ള തോൽവാർ,ಹಗ್ಗ
396,Decke::N,പുതപ്പ്,ಕಂಬಳಿ
397,Kissen::N,തലയിണ,ದಿಂಬು
398,Tuch::N,സ്കാർഫ്,ಕೊರಳ ಬಟ್ಟೆ
399,Handtuch::N,തോർത്ത്,ಚೌಕ
400,Kraft::N,ശക്തി,ಬಲ
401,Stärke::N,ശക്തി,ಶಕ್ತಿ
402,Gesundheit::N,ആരോഗ്യം,ಆರೋಗ್ಯ
403,Krankheit::N,അസുഖം,ರೋಗ
404,Schmerz::N,വേദന,ನೋವು
405,Wunde::N,മുറിവ്,ಗಾಯ
406,Fieber::N,പനി,ಜ್ವರ
407,Arznei::N,മരുന്ന്,ಔಷಧ
408,Brücke::N,പാലം,ಸೇತುವೆ
409,Brunnen::N,കിണർ,ಬಾವಿ
410,Weide::N,മേച്ചൽ,ಗೋಮಾಳ
411,Pfad::N,വഴി,ದಾರಿ
412,Weg::N,വഴി,ಹಾದಿ
413,Straße::N,റോഡ്,ರಸ್ತೆ
414,Dorf::N,ഗ്രാമം,ಹಳ್ಳಿ
415,Stadt::N,നഗരം,ಪಟ್ಟಣ
416,Brief::N,കത്ത്,ಕಾಗದ
417,Buch::N,പുസ്തകം,ಪುಸ್ತಕ
418,Buchstabe::N,അക്ഷരം,ಅಕ್ಷರ
419,Zeitung::N,വർത്തമാനപത്രം,ವಾರ್ತಾಪತ್ರಿಕೆ
420,Leben::N,ജീവൻ,ಜೀವನ
421,Tod::N,മരണം,ಮರಣ
422,Grab::N,ശവക്കുഴി,ಗೋರಿ
423,Kirche::N,പള്ളി,ಚರ್ಚು
424,Sünde::N,പാപം,ಪಾಪ
425,Gott::N,ദൈവം,ದೇವರು
426,Arbeiter::N,ജോലിക്കാരൻ,ಕೆಲಸಗಾರ
427,Chef::N,മേധാവി,ದಣಿ
428,Meister::N,യജമാനൻ,ಶಿಕ್ಷಕ
429,Arzt::N,ഡോക്ടർ,ವೈದ್ಯ
430,Lehrer::N,അധ്യാപകൻ,ಉಪಾಧ್ಯಾಯ
431,Geld::N,പണം,ಹಣ
432,Geschäft::N,ബിസിനസ്,ವಾಣಿಜ್ಯ
433,Laden::N,കട,ಅಂಗಡಿ
434,Preis::N,വില,ಬೆಲೆ
435,Ware::N,ചരക്ക്,ಸರಕು
436,Nutzen::N,ലാഭം,ಲಾಭ
437,Reichtum::N,ധനം,ಸಂಪತ್ತು
438,Welt::N,ലോകം,ಭೂಲೋಕ
439,Land::N,രാജ്യം,ದೇಶ
440,Staat::N,രാജ്യം,ರಾಜ್ಯ
441,König::N,രാജാവ്,ರಾಜ
442,Macht::N,അധികാരം,ಅಧಿಕಾರ
443,Grenze::N,അതിർത്തി,ಗಡಿ
444,Krieg::N,യുദ്ധം,ಯುದ್ಧ
445,Feind::N,ശത്രു,ಶತ್ರು
446,Gewalt::N,അക്രമം,ಹಿಂಸೆ
447,Kampf::N,പോരാട്ടം,ಹೋರಾಟ
448,Bogen[Waffe]::N,വില്ല്,ಬಿಲ್ಲು
449,Pfeil::N,അമ്പ്,ಅಂಬು
450,Gewehr::N,തോക്ക്,ಬಂದೂಕು
451,Fehler::N,പിശക്,ತಪ್ಪು
452,Lüge::N,കള്ളം,ಸುಳ್ಳು
453,Schaden::N,കേടുപാട്,ಹಾನಿ
454,Unglück::N,ദൌർഭാഗ്യം,ಅಪಾಯ
455,Schuld::N,തെറ്റ്,ದೋಷ
456,Alter::N,വയസ്സ്,ಮುಪ್ಪು
457,Schluss::N,നിഗമനം,ಮುಕ್ತಾಯ
458,Zeit::N,സമയം,ಕಾಲ
459,Tag::N,ദിവസം,ದಿನ
460,Morgen::N,പ്രഭാതം,ಮುಂಜಾನೆ
461,Mittag::N,ഉച്ച,ನಡುಹಗಲು
462,Abend::N,സായാഹ്നം,ಸಂಜೆ
463,Nacht::N,രാത്രി,ರಾತ್ರಿ
464,Woche::N,ആഴ്ച,ವಾರ
465,Monat::N,മാസം,ತಿಂಗಳು
466,Jahr::N,വർഷം,ಸಂವತ್ಸರ
467,Frühling::N,വസന്തം,ವಸಂತ
468,Sommer::N,വേനൽ,ಬಿಸಿಲುಕಾಲ
469,Herbst::N,ശരത്കാലം,ಶರತ್ಕಾಲ
470,Winter::N,ശൈത്യം,ಚಳಿಗಾಲ
471,Januar::N,ജനുവരി,ನಾಲ್ಚಳಿ
472,Februar::N,ഫെബ്രുവരി,ಅಯ್ಚಳಿ
473,März::N,മാർച്ച്,ಮೊಬ್ಬೇಸಿಗೆ
474,April::N,ഏപ്രിൾ മാസം,ಇಬ್ಬೇಸಿಗೆ
475,Mai::N,മെയ് മാസം,ಮುಬ್ಬೇಸಿಗೆ
476,Juni::N,ജൂൺ,ಮೊಮ್ಮಳೆ
477,Juli::N,ജൂലൈ,ಇಮ್ಮಳೆ
478,August::N,ആഗസ്റ്റ്,ಮುಮ್ಮಳೆ
479,September::N,സെപ്തംബർ,ನಾಲ್ಮಳೆ
480,Oktober::N,ഒക്ടോബർ,ಮೊಚ್ಚಳಿ
